tripdurationseconds,tripdurationminutes,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
147,2,9/1/18 0:01,9/1/18 0:03,3134,3 Ave & E 62 St,40.76312584,-73.96526895,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,32191,Subscriber,1995,Male
454,8,9/1/18 0:01,9/1/18 0:08,479,9 Ave & W 45 St,40.76019252,-73.9912551,458,11 Ave & W 27 St,40.751396,-74.005226,16773,Subscriber,1983,Male
893,15,9/1/18 0:01,9/1/18 0:16,3558,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,3396,Clinton St & 4 Place,40.6783563,-74.00014502,17360,Customer,1987,Male
1138,19,9/1/18 0:01,9/1/18 0:20,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,18964,Customer,1985,Male
401,7,9/1/18 0:01,9/1/18 0:08,350,Clinton St & Grand St,40.71559509,-73.9870295,473,Rivington St & Chrystie St,40.72110063,-73.9919254,29786,Subscriber,1984,Male
353,6,9/1/18 0:01,9/1/18 0:07,3384,Smith St & 3 St,40.6787242,-73.99599099,3389,Carroll St & Columbia St,40.6830456,-74.00348559,25552,Subscriber,1985,Male
252,4,9/1/18 0:02,9/1/18 0:06,350,Clinton St & Grand St,40.71559509,-73.9870295,308,St James Pl & Oliver St,40.71307916,-73.99851193,32175,Subscriber,1982,Male
1585,26,9/1/18 0:02,9/1/18 0:28,302,Avenue D & E 3 St,40.72082834,-73.97793172,388,W 26 St & 10 Ave,40.74971775,-74.00295035,26483,Subscriber,1985,Female
278,5,9/1/18 0:02,9/1/18 0:06,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,473,Rivington St & Chrystie St,40.72110063,-73.9919254,33686,Subscriber,1997,Male
213,4,9/1/18 0:02,9/1/18 0:05,379,W 31 St & 7 Ave,40.749156,-73.9916,334,W 20 St & 7 Ave,40.74238787,-73.99726235,29390,Subscriber,1982,Male
1250,21,9/1/18 0:02,9/1/18 0:23,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,383,Greenwich Ave & Charles St,40.735238,-74.000271,33149,Subscriber,1968,Male
622,10,9/1/18 0:02,9/1/18 0:12,3561,37 Ave & 35 St,40.7531106,-73.9279917,3561,37 Ave & 35 St,40.7531106,-73.9279917,27107,Subscriber,1996,Male
199,3,9/1/18 0:02,9/1/18 0:05,261,Johnson St & Gold St,40.69474881,-73.98362464,239,Willoughby St & Fleet St,40.69196566,-73.9813018,15745,Subscriber,1988,Male
141,2,9/1/18 0:02,9/1/18 0:05,3002,South End Ave & Liberty St,40.711512,-74.015756,363,West Thames St,40.70834698,-74.01713445,34042,Subscriber,1966,Male
107,2,9/1/18 0:02,9/1/18 0:04,453,W 22 St & 8 Ave,40.74475148,-73.99915362,470,W 20 St & 8 Ave,40.74345335,-74.00004031,26401,Subscriber,1976,Female
447,7,9/1/18 0:02,9/1/18 0:10,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,238,Bank St & Washington St,40.7361967,-74.00859207,16726,Customer,1969,Unknown
1172,20,9/1/18 0:02,9/1/18 0:22,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,3597,43 St & Broadway,40.7577284,-73.9166368,32782,Subscriber,1986,Male
1031,17,9/1/18 0:02,9/1/18 0:20,532,S 5 Pl & S 5 St,40.710451,-73.960876,403,E 2 St & 2 Ave,40.72502876,-73.99069656,24913,Subscriber,1997,Male
1028,17,9/1/18 0:02,9/1/18 0:20,532,S 5 Pl & S 5 St,40.710451,-73.960876,403,E 2 St & 2 Ave,40.72502876,-73.99069656,32221,Subscriber,1996,Male
318,5,9/1/18 0:02,9/1/18 0:08,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,21338,Subscriber,1981,Female
363,6,9/1/18 0:02,9/1/18 0:08,412,Forsyth St & Canal St,40.7158155,-73.99422366,319,Fulton St & Broadway,40.711066,-74.009447,17716,Subscriber,1993,Male
366,6,9/1/18 0:02,9/1/18 0:09,317,E 6 St & Avenue B,40.72453734,-73.98185424,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,33931,Subscriber,1961,Male
372,6,9/1/18 0:02,9/1/18 0:09,293,Lafayette St & E 8 St,40.73020661,-73.99102628,433,E 13 St & Avenue A,40.72955361,-73.98057249,32520,Subscriber,1989,Female
304,5,9/1/18 0:02,9/1/18 0:08,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,317,E 6 St & Avenue B,40.72453734,-73.98185424,15747,Subscriber,1997,Female
2968,49,9/1/18 0:03,9/1/18 0:52,3556,24 St & 41 Ave,40.7527085,-73.9397405,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,34394,Customer,1981,Male
769,13,9/1/18 0:03,9/1/18 0:16,504,1 Ave & E 16 St,40.73221853,-73.98165557,307,Canal St & Rutgers St,40.71427487,-73.98990025,29156,Subscriber,1992,Male
543,9,9/1/18 0:03,9/1/18 0:12,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,28749,Subscriber,1988,Female
1884,31,9/1/18 0:03,9/1/18 0:34,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,3124,46 Ave & 5 St,40.74731,-73.95451,25042,Subscriber,1989,Male
409,7,9/1/18 0:03,9/1/18 0:10,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3115,India St & Manhattan Ave,40.73232194,-73.9550858,29975,Subscriber,1984,Male
764,13,9/1/18 0:03,9/1/18 0:16,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,25970,Customer,1969,Unknown
